# equation of state: murnaghan.        chisq =   0.8659D-09
# a0 = 10.3485 a.u., k0 =  858 kbar, dk0 =  4.00 d2k0 =  0.000 emin =  -15.74187
# a0 =  5.47617 Ang, k0 =  85.8 GPa,  V0 =   277.06 (a.u.)^3,  V0 =   41.06 A^3 

#########################################################################
# Lat.Par       E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.            Ry           Ry            Ry        GPa           Ry
#########################################################################
  9.70000     -15.70673     -15.70670    -0.00003      25.20      -15.31585
  9.80000     -15.71753     -15.71757     0.00003      19.80      -15.40091
  9.90000     -15.72613     -15.72616     0.00003      15.06      -15.47776
 10.00000     -15.73268     -15.73269     0.00001      10.91      -15.54725
 10.10000     -15.73737     -15.73735    -0.00002       7.27      -15.61012
 10.20000     -15.74033     -15.74030    -0.00003       4.06      -15.66705
 10.30000     -15.74173     -15.74170    -0.00003       1.24      -15.71864
 10.40000     -15.74169     -15.74169    -0.00001      -1.24      -15.76543
 10.50000     -15.74035     -15.74037     0.00002      -3.43      -15.80792
 10.60000     -15.73782     -15.73786     0.00004      -5.37      -15.84656
 10.70000     -15.73422     -15.73425     0.00003      -7.09      -15.88174
 10.80000     -15.72965     -15.72961    -0.00004      -8.60      -15.91384
