# equation of state: murnaghan.        chisq =   0.9742D-09
# a0 = 10.2071 a.u., k0 =  931 kbar, dk0 =  4.21 d2k0 =  0.000 emin =  -15.85297
# a0 =  5.40139 Ang, k0 =  93.2 GPa,  V0 =   265.86 (a.u.)^3,  V0 =   39.40 A^3 

#########################################################################
# Lat.Par       E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.            Ry           Ry            Ry        GPa           Ry
#########################################################################
  9.70000     -15.83077     -15.83073    -0.00004      19.99      -15.52064
  9.80000     -15.83911     -15.83915     0.00004      14.88      -15.60117
  9.90000     -15.84534     -15.84538     0.00004      10.42      -15.67349
 10.00000     -15.84963     -15.84963     0.00001       6.54      -15.73846
 10.10000     -15.85213     -15.85211    -0.00002       3.15      -15.79689
 10.20000     -15.85300     -15.85297    -0.00004       0.20      -15.84946
 10.30000     -15.85239     -15.85236    -0.00003      -2.39      -15.89681
 10.40000     -15.85043     -15.85042    -0.00000      -4.66      -15.93949
 10.50000     -15.84724     -15.84726     0.00002      -6.65      -15.97802
 10.60000     -15.84294     -15.84298     0.00004      -8.39      -16.01285
 10.70000     -15.83764     -15.83767     0.00003      -9.93      -16.04438
 10.80000     -15.83145     -15.83141    -0.00004     -11.28      -16.07298
